EventType,EventTime_ET,OffsetMin,Minute_ET,Actual,Forecast,Previous,BTC_ret_1m,ETH_ret_1m,Surprise,Category,BTC_volume_1m,ETH_volume_1m
CPI,2024-01-11 09:30:00-05:00,-27,2024-01-11 09:03:00-05:00,0.3,0.3,0.3,0.00102467,0.00197489,0,Equal,147.95,1154.65
CPI,2024-01-11 09:30:00-05:00,-26,2024-01-11 09:04:00-05:00,0.3,0.3,0.3,0.00111755,-0.00090998,0,Equal,219.32,550.45
CPI,2024-01-11 09:30:00-05:00,-25,2024-01-11 09:05:00-05:00,0.3,0.3,0.3,0.00055962,-0.00006047,0,Equal,276.67,1226.35
CPI,2024-01-11 09:30:00-05:00,-24,2024-01-11 09:06:00-05:00,0.3,0.3,0.3,0.00042945,-0.00017386,0,Equal,130.62,626.45
CPI,2024-01-11 09:30:00-05:00,-23,2024-01-11 09:07:00-05:00,0.3,0.3,0.3,0.00133203,0.00073713,0,Equal,202.15,879.34
CPI,2024-01-11 09:30:00-05:00,-22,2024-01-11 09:08:00-05:00,0.3,0.3,0.3,-0.0001866,-0.00021153,0,Equal,184.24,827.42
CPI,2024-01-11 09:30:00-05:00,-21,2024-01-11 09:09:00-05:00,0.3,0.3,0.3,-0.00145137,-0.00151883,0,Equal,128.94,496.05
CPI,2024-01-11 09:30:00-05:00,-20,2024-01-11 09:10:00-05:00,0.3,0.3,0.3,-0.00100269,0.0000946,0,Equal,72.45,600.43
CPI,2024-01-11 09:30:00-05:00,-19,2024-01-11 09:11:00-05:00,0.3,0.3,0.3,-0.0008397,-0.00063564,0,Equal,91.68,326.83
CPI,2024-01-11 09:30:00-05:00,-18,2024-01-11 09:12:00-05:00,0.3,0.3,0.3,0.00092447,0.00048082,0,Equal,67.42,396.42
CPI,2024-01-11 09:30:00-05:00,-17,2024-01-11 09:13:00-05:00,0.3,0.3,0.3,0.00138658,0.00005298,0,Equal,71.74,359.53
CPI,2024-01-11 09:30:00-05:00,-16,2024-01-11 09:14:00-05:00,0.3,0.3,0.3,0.00210823,0.00107843,0,Equal,198.89,1274.83
CPI,2024-01-11 09:30:00-05:00,-15,2024-01-11 09:15:00-05:00,0.3,0.3,0.3,-0.00101706,-0.00134942,0,Equal,224.31,709.4
CPI,2024-01-11 09:30:00-05:00,-14,2024-01-11 09:16:00-05:00,0.3,0.3,0.3,0.00134294,-0.00113171,0,Equal,153.56,1812.01
CPI,2024-01-11 09:30:00-05:00,-13,2024-01-11 09:17:00-05:00,0.3,0.3,0.3,-0.00084773,-0.00112921,0,Equal,160.24,753.89
CPI,2024-01-11 09:30:00-05:00,-12,2024-01-11 09:18:00-05:00,0.3,0.3,0.3,-0.00118004,-0.00150225,0,Equal,127.41,1340.22
CPI,2024-01-11 09:30:00-05:00,-11,2024-01-11 09:19:00-05:00,0.3,0.3,0.3,-0.00061199,-0.00056229,0,Equal,123.86,1136.02
CPI,2024-01-11 09:30:00-05:00,-10,2024-01-11 09:20:00-05:00,0.3,0.3,0.3,-0.00237879,-0.00002281,0,Equal,182.77,1342.8
CPI,2024-01-11 09:30:00-05:00,-9,2024-01-11 09:21:00-05:00,0.3,0.3,0.3,0.000955,0.00058543,0,Equal,95.76,431.68
CPI,2024-01-11 09:30:00-05:00,-8,2024-01-11 09:22:00-05:00,0.3,0.3,0.3,-0.00027743,-0.00189584,0,Equal,58.67,700.26
CPI,2024-01-11 09:30:00-05:00,-7,2024-01-11 09:23:00-05:00,0.3,0.3,0.3,-0.00049199,-0.00100872,0,Equal,61.34,1191.67
CPI,2024-01-11 09:30:00-05:00,-6,2024-01-11 09:24:00-05:00,0.3,0.3,0.3,0.00087685,0.00150508,0,Equal,125.94,1189.49
CPI,2024-01-11 09:30:00-05:00,-5,2024-01-11 09:25:00-05:00,0.3,0.3,0.3,0.0015554,0.00061254,0,Equal,121.79,424.89
