Open time,Open,High,Low,Close,Volume
2024-06-30 20:00:00-04:00,62772.01,62809.01,62772.00,62776.01,24.36
2024-06-30 20:01:00-04:00,62776.00,62786.00,62768.00,62769.72,8.85
2024-06-30 20:02:00-04:00,62769.72,62781.55,62760.78,62760.79,20.13
2024-06-30 20:03:00-04:00,62760.78,62781.60,62745.65,62745.66,19.23
2024-06-30 20:04:00-04:00,62745.66,62745.66,62722.07,62722.08,20.53
2024-06-30 20:05:00-04:00,62722.08,62798.95,62722.07,62780.98,101.05
2024-06-30 20:06:00-04:00,62780.97,62780.98,62748.02,62750.58,13.92
2024-06-30 20:07:00-04:00,62750.58,62772.00,62750.57,62758.11,20.66
2024-06-30 20:08:00-04:00,62758.11,62758.11,62713.00,62713.01,16.48
2024-06-30 20:09:00-04:00,62713.01,62713.01,62648.48,62648.49,43.47
2024-06-30 20:10:00-04:00,62648.48,62671.91,62606.80,62629.00,45.38
2024-06-30 20:11:00-04:00,62629.00,62629.00,62582.49,62582.50,15.93
2024-06-30 20:12:00-04:00,62582.50,62630.00,62573.32,62611.92,31.02
2024-06-30 20:13:00-04:00,62611.92,62633.84,62594.56,62597.86,26.77
2024-06-30 20:14:00-04:00,62597.86,62624.00,62597.86,62624.00,9.00
2024-06-30 20:15:00-04:00,62624.00,62645.50,62621.40,62626.01,14.18
2024-06-30 20:16:00-04:00,62626.01,62684.30,62626.00,62672.25,16.96
2024-06-30 20:17:00-04:00,62672.25,62692.45,62650.83,62670.00,16.62
2024-06-30 20:18:00-04:00,62670.00,62685.98,62670.00,62680.01,11.81
2024-06-30 20:19:00-04:00,62680.01,62690.00,62678.01,62682.02,12.70
2024-06-30 20:20:00-04:00,62682.02,62730.04,62682.02,62730.04,16.28
2024-06-30 20:21:00-04:00,62730.04,62743.20,62726.05,62727.99,17.65
2024-06-30 20:22:00-04:00,62727.98,62727.99,62698.01,62698.01,8.37
2024-06-30 20:23:00-04:00,62698.01,62725.82,62692.01,62725.82,10.76
2024-06-30 20:24:00-04:00,62725.82,62725.82,62674.00,62674.01,8.28
2024-06-30 20:25:00-04:00,62674.00,62695.99,62674.00,62678.90,10.34
2024-06-30 20:26:00-04:00,62678.90,62708.46,62678.89,62702.98,26.59
2024-06-30 20:27:00-04:00,62702.98,62714.98,62702.97,62714.98,9.38
2024-06-30 20:28:00-04:00,62714.98,62744.59,62714.98,62744.59,6.05
2024-06-30 20:29:00-04:00,62744.58,62744.99,62720.01,62720.02,10.22
2024-06-30 20:30:00-04:00,62720.02,62731.96,62684.00,62691.77,16.98
2024-06-30 20:31:00-04:00,62691.77,62719.49,62687.37,62712.00,10.07
2024-06-30 20:32:00-04:00,62712.00,62727.99,62711.99,62727.99,4.13
2024-06-30 20:33:00-04:00,62727.99,62739.49,62727.99,62739.49,4.43
2024-06-30 20:34:00-04:00,62739.49,62746.00,62737.56,62746.00,18.97
2024-06-30 20:35:00-04:00,62745.99,62753.42,62713.08,62713.09,15.10
2024-06-30 20:36:00-04:00,62713.09,62748.00,62710.00,62726.02,36.87
2024-06-30 20:37:00-04:00,62726.02,62740.02,62724.00,62736.01,5.19
2024-06-30 20:38:00-04:00,62736.01,62757.81,62736.01,62752.01,6.91
2024-06-30 20:39:00-04:00,62752.01,62772.55,62752.01,62764.00,9.24
2024-06-30 20:40:00-04:00,62763.99,62816.00,62763.99,62816.00,9.07
2024-06-30 20:41:00-04:00,62816.00,62839.49,62815.99,62836.01,19.31
2024-06-30 20:42:00-04:00,62836.01,62839.49,62804.11,62804.12,13.22
2024-06-30 20:43:00-04:00,62804.12,62804.12,62792.00,62803.36,13.05
2024-06-30 20:44:00-04:00,62803.35,62818.23,62803.35,62804.60,10.35
2024-06-30 20:45:00-04:00,62804.60,62836.38,62797.04,62836.38,15.30
2024-06-30 20:46:00-04:00,62836.38,62843.82,62836.37,62843.82,5.24
2024-06-30 20:47:00-04:00,62843.82,62854.07,62843.81,62854.07,8.55
2024-06-30 20:48:00-04:00,62854.06,62885.68,62854.06,62885.68,11.95
2024-06-30 20:49:00-04:00,62885.68,62889.04,62854.41,62854.42,18.53
2024-06-30 20:50:00-04:00,62854.42,62856.02,62854.41,62856.02,5.27
2024-06-30 20:51:00-04:00,62856.01,62862.02,62852.74,62852.75,11.54
2024-06-30 20:52:00-04:00,62852.75,62855.53,62845.64,62855.53,14.81
2024-06-30 20:53:00-04:00,62855.53,62868.88,62849.56,62849.57,10.11
2024-06-30 20:54:00-04:00,62849.56,62854.00,62800.00,62854.00,27.57
2024-06-30 20:55:00-04:00,62853.99,62867.61,62853.99,62860.73,8.65
2024-06-30 20:56:00-04:00,62860.73,62867.61,62855.02,62855.03,6.79
2024-06-30 20:57:00-04:00,62855.03,62887.99,62855.02,62887.99,10.90
