Open time,Open,High,Low,Close,Volume
2024-09-30 20:00:00-04:00,2602.24,2606.00,2601.82,2605.92,287.73
2024-09-30 20:01:00-04:00,2605.92,2608.37,2603.50,2603.50,420.01
2024-09-30 20:02:00-04:00,2603.50,2603.50,2600.59,2602.78,405.01
2024-09-30 20:03:00-04:00,2602.79,2603.00,2599.60,2601.77,1536.15
2024-09-30 20:04:00-04:00,2601.78,2604.21,2601.60,2603.03,371.21
2024-09-30 20:05:00-04:00,2603.04,2605.43,2602.06,2603.12,253.35
2024-09-30 20:06:00-04:00,2603.13,2606.77,2603.13,2606.20,186.48
2024-09-30 20:07:00-04:00,2606.21,2607.93,2605.50,2607.44,108.57
2024-09-30 20:08:00-04:00,2607.44,2607.97,2605.65,2605.68,69.41
2024-09-30 20:09:00-04:00,2605.67,2607.50,2603.14,2606.99,194.27
2024-09-30 20:10:00-04:00,2607.03,2608.97,2605.64,2606.06,408.40
2024-09-30 20:11:00-04:00,2606.06,2606.89,2603.51,2604.39,100.92
2024-09-30 20:12:00-04:00,2604.39,2606.00,2603.60,2605.05,93.34
2024-09-30 20:13:00-04:00,2605.04,2605.99,2603.28,2604.39,517.54
2024-09-30 20:14:00-04:00,2604.39,2606.28,2602.89,2606.27,379.99
2024-09-30 20:15:00-04:00,2606.27,2606.28,2601.46,2602.00,446.56
2024-09-30 20:16:00-04:00,2602.09,2602.34,2599.06,2599.06,306.70
2024-09-30 20:17:00-04:00,2599.06,2603.73,2598.58,2603.40,183.02
2024-09-30 20:18:00-04:00,2603.40,2603.40,2599.45,2600.49,213.24
2024-09-30 20:19:00-04:00,2600.49,2600.49,2598.71,2599.81,202.61
2024-09-30 20:20:00-04:00,2599.80,2601.79,2598.99,2599.00,90.95
2024-09-30 20:21:00-04:00,2599.00,2599.45,2592.45,2593.31,326.11
2024-09-30 20:22:00-04:00,2593.31,2595.00,2591.34,2594.49,279.96
2024-09-30 20:23:00-04:00,2594.49,2599.10,2593.60,2598.55,371.69
2024-09-30 20:24:00-04:00,2598.56,2602.30,2597.72,2601.49,253.40
2024-09-30 20:25:00-04:00,2601.49,2608.50,2600.49,2607.99,536.49
2024-09-30 20:26:00-04:00,2607.99,2611.33,2607.26,2609.89,643.93
2024-09-30 20:27:00-04:00,2609.89,2613.27,2608.52,2610.74,601.09
2024-09-30 20:28:00-04:00,2610.74,2612.00,2608.50,2610.95,239.16
2024-09-30 20:29:00-04:00,2610.95,2613.00,2609.67,2611.76,247.32
2024-09-30 20:30:00-04:00,2611.75,2615.00,2611.32,2611.59,367.90
2024-09-30 20:31:00-04:00,2611.58,2615.91,2610.83,2612.96,376.45
2024-09-30 20:32:00-04:00,2612.96,2613.59,2609.50,2610.69,131.90
2024-09-30 20:33:00-04:00,2610.68,2612.92,2609.99,2610.19,234.01
2024-09-30 20:34:00-04:00,2610.18,2610.18,2607.39,2608.48,263.56
2024-09-30 20:35:00-04:00,2608.49,2611.35,2608.37,2610.82,89.95
2024-09-30 20:36:00-04:00,2610.87,2614.44,2609.86,2612.75,195.49
2024-09-30 20:37:00-04:00,2612.74,2613.90,2610.57,2613.63,232.13
2024-09-30 20:38:00-04:00,2613.63,2613.63,2610.67,2611.70,150.46
2024-09-30 20:39:00-04:00,2611.70,2612.76,2610.49,2610.82,123.80
2024-09-30 20:40:00-04:00,2610.83,2612.88,2610.83,2612.87,105.08
2024-09-30 20:41:00-04:00,2612.87,2614.41,2612.39,2612.52,84.84
2024-09-30 20:42:00-04:00,2612.52,2612.52,2610.82,2610.83,56.26
2024-09-30 20:43:00-04:00,2610.83,2613.99,2610.83,2613.39,49.19
2024-09-30 20:44:00-04:00,2613.39,2613.39,2610.76,2611.80,77.85
2024-09-30 20:45:00-04:00,2611.80,2613.32,2611.50,2612.71,136.35
2024-09-30 20:46:00-04:00,2612.72,2614.25,2612.60,2613.71,99.29
2024-09-30 20:47:00-04:00,2613.71,2615.50,2613.49,2613.50,118.57
2024-09-30 20:48:00-04:00,2613.50,2615.89,2613.50,2614.49,114.41
2024-09-30 20:49:00-04:00,2614.49,2614.50,2613.38,2613.84,117.47
2024-09-30 20:50:00-04:00,2613.84,2621.49,2613.03,2620.12,845.83
2024-09-30 20:51:00-04:00,2620.12,2623.52,2617.97,2621.69,1380.50
