Open time,Open,High,Low,Close,Volume
2024-01-31 19:00:00-05:00,42580.00,42632.86,42573.46,42632.86,53.80
2024-01-31 19:01:00-05:00,42632.86,42641.32,42618.01,42641.31,24.62
2024-01-31 19:02:00-05:00,42641.31,42687.63,42641.31,42668.00,27.70
2024-01-31 19:03:00-05:00,42668.00,42668.01,42632.89,42632.90,29.73
2024-01-31 19:04:00-05:00,42632.89,42632.90,42594.17,42607.62,23.88
2024-01-31 19:05:00-05:00,42607.62,42617.79,42594.17,42594.18,16.92
2024-01-31 19:06:00-05:00,42594.17,42594.18,42582.77,42582.78,15.31
2024-01-31 19:07:00-05:00,42582.78,42621.82,42582.73,42621.81,28.38
2024-01-31 19:08:00-05:00,42621.81,42621.82,42603.02,42605.27,18.67
2024-01-31 19:09:00-05:00,42605.28,42605.28,42582.12,42598.20,15.18
2024-01-31 19:10:00-05:00,42598.19,42598.20,42592.85,42592.85,17.20
2024-01-31 19:11:00-05:00,42592.86,42592.86,42573.96,42573.97,16.79
2024-01-31 19:12:00-05:00,42573.96,42575.15,42571.81,42571.82,10.62
2024-01-31 19:13:00-05:00,42571.81,42588.00,42571.81,42587.99,18.06
2024-01-31 19:14:00-05:00,42588.00,42605.81,42587.99,42602.29,17.91
2024-01-31 19:15:00-05:00,42602.30,42602.30,42580.00,42580.00,18.20
2024-01-31 19:16:00-05:00,42580.01,42581.99,42573.20,42581.98,9.52
2024-01-31 19:17:00-05:00,42581.98,42582.71,42571.22,42572.66,17.52
2024-01-31 19:18:00-05:00,42572.67,42572.67,42568.40,42569.25,9.93
2024-01-31 19:19:00-05:00,42569.26,42569.26,42564.41,42564.42,7.46
2024-01-31 19:20:00-05:00,42564.41,42564.42,42528.00,42541.15,46.75
2024-01-31 19:21:00-05:00,42541.14,42541.15,42490.01,42495.81,33.44
2024-01-31 19:22:00-05:00,42495.80,42495.81,42450.00,42450.01,77.92
2024-01-31 19:23:00-05:00,42450.00,42450.01,42435.24,42445.67,22.23
2024-01-31 19:24:00-05:00,42445.67,42445.68,42425.03,42425.03,33.72
2024-01-31 19:25:00-05:00,42425.03,42439.27,42418.74,42439.26,29.26
2024-01-31 19:26:00-05:00,42439.27,42460.46,42435.48,42460.45,23.86
2024-01-31 19:27:00-05:00,42460.46,42460.46,42426.99,42426.99,18.06
2024-01-31 19:28:00-05:00,42427.00,42458.00,42426.99,42458.00,15.20
2024-01-31 19:29:00-05:00,42457.99,42486.41,42453.65,42486.40,26.21
2024-01-31 19:30:00-05:00,42486.40,42516.67,42486.40,42510.81,22.78
2024-01-31 19:31:00-05:00,42510.81,42510.81,42451.10,42460.00,17.80
2024-01-31 19:32:00-05:00,42459.99,42461.10,42444.97,42450.95,17.02
2024-01-31 19:33:00-05:00,42450.94,42465.99,42438.80,42438.81,18.10
2024-01-31 19:34:00-05:00,42438.81,42456.47,42436.29,42450.03,12.95
2024-01-31 19:35:00-05:00,42450.03,42450.04,42433.36,42433.36,8.21
2024-01-31 19:36:00-05:00,42433.36,42433.37,42406.00,42411.27,15.42
2024-01-31 19:37:00-05:00,42411.26,42411.27,42361.10,42361.10,37.77
2024-01-31 19:38:00-05:00,42361.11,42370.00,42341.21,42361.10,22.72
2024-01-31 19:39:00-05:00,42361.10,42370.03,42305.57,42308.01,30.82
2024-01-31 19:40:00-05:00,42308.01,42325.20,42220.85,42235.70,113.79
2024-01-31 19:41:00-05:00,42235.69,42314.00,42228.01,42311.11,40.49
2024-01-31 19:42:00-05:00,42311.10,42357.89,42311.10,42357.89,20.35
2024-01-31 19:43:00-05:00,42357.88,42372.21,42346.23,42372.21,23.64
2024-01-31 19:44:00-05:00,42372.20,42395.11,42372.13,42378.97,27.78
2024-01-31 19:45:00-05:00,42378.97,42426.00,42378.97,42426.00,18.36
2024-01-31 19:46:00-05:00,42425.99,42465.50,42416.40,42450.02,43.24
