Open time,Open,High,Low,Close,Volume
2024-02-29 19:00:00-05:00,61130.99,61197.66,61126.00,61196.00,121.02
2024-02-29 19:01:00-05:00,61196.00,61217.41,61162.00,61185.84,40.05
2024-02-29 19:02:00-05:00,61185.85,61201.10,61140.60,61147.58,37.99
2024-02-29 19:03:00-05:00,61147.58,61186.26,61131.10,61163.85,25.17
2024-02-29 19:04:00-05:00,61163.85,61173.27,61129.91,61129.92,23.11
2024-02-29 19:05:00-05:00,61129.91,61229.70,61129.91,61229.69,41.34
2024-02-29 19:06:00-05:00,61229.69,61260.25,61229.69,61260.24,28.50
2024-02-29 19:07:00-05:00,61260.24,61325.58,61260.24,61316.54,39.43
2024-02-29 19:08:00-05:00,61316.53,61327.74,61298.13,61317.48,34.13
2024-02-29 19:09:00-05:00,61317.48,61338.72,61297.55,61297.55,25.30
2024-02-29 19:10:00-05:00,61297.56,61338.12,61293.17,61324.58,29.94
2024-02-29 19:11:00-05:00,61324.58,61338.11,61306.00,61306.01,28.46
2024-02-29 19:12:00-05:00,61306.00,61306.01,61258.00,61265.81,16.66
2024-02-29 19:13:00-05:00,61265.80,61265.81,61255.17,61255.17,6.38
2024-02-29 19:14:00-05:00,61255.18,61263.99,61224.48,61224.49,15.49
2024-02-29 19:15:00-05:00,61224.49,61224.49,61193.71,61212.35,27.96
2024-02-29 19:16:00-05:00,61212.34,61291.53,61207.24,61291.53,17.16
2024-02-29 19:17:00-05:00,61291.53,61443.38,61291.52,61439.65,86.56
2024-02-29 19:18:00-05:00,61439.66,61451.54,61397.05,61442.00,55.57
2024-02-29 19:19:00-05:00,61442.00,61466.56,61429.71,61462.12,21.48
2024-02-29 19:20:00-05:00,61462.12,61488.71,61451.10,61474.00,29.09
2024-02-29 19:21:00-05:00,61474.00,61485.98,61431.10,61431.10,14.36
2024-02-29 19:22:00-05:00,61431.10,61439.07,61416.00,61421.33,12.16
2024-02-29 19:23:00-05:00,61421.32,61431.09,61406.00,61412.07,31.96
2024-02-29 19:24:00-05:00,61412.07,61417.99,61386.04,61415.99,17.58
2024-02-29 19:25:00-05:00,61416.00,61499.60,61415.39,61481.99,75.38
2024-02-29 19:26:00-05:00,61482.00,61522.33,61481.99,61512.00,19.51
2024-02-29 19:27:00-05:00,61512.00,61628.58,61500.00,61628.57,67.15
2024-02-29 19:28:00-05:00,61628.57,61699.31,61572.01,61698.02,94.57
2024-02-29 19:29:00-05:00,61698.01,61749.00,61671.10,61716.74,68.78
2024-02-29 19:30:00-05:00,61716.74,61741.10,61640.76,61657.27,35.13
2024-02-29 19:31:00-05:00,61657.26,61694.09,61641.10,61651.11,29.67
2024-02-29 19:32:00-05:00,61651.10,61659.18,61585.11,61608.72,27.80
2024-02-29 19:33:00-05:00,61608.72,61608.72,61580.64,61580.64,21.37
2024-02-29 19:34:00-05:00,61580.65,61580.65,61541.10,61561.09,29.16
2024-02-29 19:35:00-05:00,61561.10,61641.10,61519.42,61641.09,24.22
